id.site,region,eco.id,eco.name,obs.year,esy16,site.type,hydrology,mngm.type,cwm.abu.sla.mean,cwm.abu.height.mean,cwm.abu.seedmass.mean,fric.abu.sla.mean,fric.abu.height.mean,fric.abu.seedmass.mean
N_ELB,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,grazing,228.70749999999998,0.7050000000000001,0.0011375,228.70749999999998,0.7050000000000001,0.0011375
N_ISE,north,664,European Atlantic mixed forests,2022,R22,positive,dry,both,233.445,0.4425,0.0012375,233.445,0.4425,0.0012375
N_JAS,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,mowing,225.54500000000002,0.47,0.0022675,225.54500000000002,0.47,0.0022675
N_KAP,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,mowing,244.405,0.4225,0.0010025,244.405,0.4225,0.0010025
N_KIR,north,664,European Atlantic mixed forests,2022,R22,positive,moist,both,218.725,0.495,0.0021625,218.725,0.495,0.0021625
N_MAU,north,664,European Atlantic mixed forests,2023,R22,restored,dry,mowing,243.76500000000001,0.20249999999999999,3.85e-4,243.76500000000001,0.20249999999999999,3.85e-4
N_MOO,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,mowing,212.07999999999998,0.395,0.002115,212.07999999999998,0.395,0.002115
N_PEV,north,664,European Atlantic mixed forests,2022,R22,restored,dry,both,263.29,0.44,5.05e-4,263.29,0.44,5.05e-4
N_RET,north,664,European Atlantic mixed forests,2022,R22,restored,moist,mowing,245.6275,0.46249999999999997,0.002085,245.6275,0.46249999999999997,0.002085
N_STA,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,mowing,196.93,0.46499999999999997,0.0038125,196.93,0.46499999999999997,0.0038125
N_TRI,north,664,European Atlantic mixed forests,2023,R22,negative,fresh,mowing,217.0875,0.4625,0.00348,217.0875,0.4625,0.00348
N_TUT,north,664,European Atlantic mixed forests,2022,R22,restored,dry,grazing,274.39750000000004,0.45999999999999996,4.325e-4,274.39750000000004,0.45999999999999996,4.325e-4
N_VIE,north,664,European Atlantic mixed forests,2022,R22,positive,dry,mowing,229.4275,0.3625,0.001835,229.4275,0.3625,0.001835
N_WEN,north,664,European Atlantic mixed forests,2022,R22,restored,dry,grazing,219.95749999999998,0.425,0.00286,219.95749999999998,0.425,0.00286
N_WIZ,north,664,European Atlantic mixed forests,2023,R22,positive,dry,NA,243.79500000000002,0.5449999999999999,0.00124,243.79500000000002,0.5449999999999999,0.00124
N_ZDF,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,257.1325,0.655,0.0010125,257.1325,0.655,0.0010125
S_ACR,south,686,Western European broadleaf forests,2022,R1A,restored,dry,mowing,205.7825,0.3875,0.0024625,205.7825,0.3875,0.0024625
S_AFR,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,274.565,0.5725,7.524999999999999e-4,274.565,0.5725,7.524999999999999e-4
S_AMP,south,686,Western European broadleaf forests,2023,R22,positive,moist,mowing,230.91,0.4525,0.0016350000000000002,230.91,0.4525,0.0016350000000000002
S_AUH,south,686,Western European broadleaf forests,2022,R1A,restored,dry,mowing,220.3025,0.3825,0.0020599999999999998,220.3025,0.3825,0.0020599999999999998
S_AUL,south,686,Western European broadleaf forests,2022,R22,restored,fresh,mowing,224.89,0.48,0.0022525,224.89,0.48,0.0022525
S_BUC,south,686,Western European broadleaf forests,2022,R22,restored,dry,mowing,263.7125,0.4225,7.45e-4,263.7125,0.4225,7.45e-4
S_ECH,south,686,Western European broadleaf forests,2022,R1A,restored,dry,mowing,215.145,0.36,0.0017699999999999999,215.145,0.36,0.0017699999999999999
S_FCH,south,686,Western European broadleaf forests,2022,R22,restored,fresh,mowing,230.2625,0.4675,0.0014650000000000002,230.2625,0.4675,0.0014650000000000002
S_HUB,south,686,Western European broadleaf forests,2023,R22,restored,dry,mowing,226.8075,0.4,0.001435,226.8075,0.4,0.001435
S_JAU,south,686,Western European broadleaf forests,2022,R22,restored,fresh,mowing,249.6925,0.455,0.001,249.6925,0.455,0.001
S_KDT,south,686,Western European broadleaf forests,2023,R22,positive,fresh,mowing,228.3125,0.4425,0.00133,228.3125,0.4425,0.00133
S_KRT,south,686,Western European broadleaf forests,2023,R1A,restored,dry,both,204.93,0.375,0.0023375,204.93,0.375,0.0023375
S_MBM,south,686,Western European broadleaf forests,2022,R1A,restored,moist,mowing,204.9275,0.515,0.001155,204.9275,0.515,0.001155
S_MCH,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,215.8375,0.4775,0.0017324999999999999,215.8375,0.4775,0.0017324999999999999
S_OSW,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,252.29500000000002,0.43,8.3e-4,252.29500000000002,0.43,8.3e-4
S_PEI,south,686,Western European broadleaf forests,2022,R22,restored,fresh,mowing,235.7425,0.4475,9.45e-4,235.7425,0.4475,9.45e-4
S_PEN,south,686,Western European broadleaf forests,2022,R22,negative,moist,mowing,243.4175,0.5349999999999999,9.55e-4,243.4175,0.5349999999999999,9.55e-4
S_POP,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,256.885,0.4775,7.4e-4,256.885,0.4775,7.4e-4
S_SBA,south,686,Western European broadleaf forests,2022,R1A,positive,dry,mowing,214.715,0.3825,0.0013225,214.715,0.3825,0.0013225
S_SBN,south,686,Western European broadleaf forests,2022,R1A,restored,dry,mowing,199.04500000000002,0.305,8.775e-4,199.04500000000002,0.305,8.775e-4
S_SHH,south,686,Western European broadleaf forests,2022,R22,restored,dry,grazing,236.6,0.3275,6.2e-4,236.6,0.3275,6.2e-4
S_TIE,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,242.325,0.48,0.0020925,242.325,0.48,0.0020925
S_UKB,south,686,Western European broadleaf forests,2023,R22,negative,fresh,mowing,240.89249999999998,0.47,0.001025,240.89249999999998,0.47,0.001025
S_WGD,south,686,Western European broadleaf forests,2022,R22,restored,fresh,mowing,236.275,0.5675,0.0014625,236.275,0.5675,0.0014625
S_WNG,south,686,Western European broadleaf forests,2023,R1A,positive,dry,mowing,195.66,0.3325,0.002555,195.66,0.3325,0.002555
S_WNK,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,235.82999999999998,0.4025,0.00134,235.82999999999998,0.4025,0.00134
S_WTZ,south,686,Western European broadleaf forests,2023,R22,restored,fresh,mowing,285.3325,0.4275,5.475e-4,285.3325,0.4275,5.475e-4
