attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
fdis.abu.sla,Fuctional dispersion based on abundance data for specific leaf area,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fric.abu.sla,Fuctional richness based on abundance data for specific leaf area,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
cwm.abu.sla,Community-weighed mean based on abundance data for specific leaf area,NA,NA,squareCentimeterPerGram,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fdis.pres.sla,Fuctional dispersion based on presence-absence data for specific leaf area,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fric.pres.sla,Fuctional richness based on presence-absence data for specific leaf area,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
cwm.pres.sla,Community-weighted mean based on presence-absence data for specific leaf area,NA,NA,squareCentimeterPerGram,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fdis.abu.height,Fuctional dispersion based on abundance data for canopy height,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fric.abu.height,Fuctional richness based on abundance data for canopy height,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
cwm.abu.height,Community-weighted mean based on abundance data for canopy height,NA,NA,meter,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fdis.pres.height,Fuctional dispersion based on presence-absence data for canopy height,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fric.pres.height,Fuctional richness based on presence-absence data for canopy height,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
cwm.pres.height,Community-weighted mean based on presence-absence data for canopy height,NA,NA,meter,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fdis.abu.seedmass,Fuctional dispersion based on abundance data for seed mass,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fric.abu.seedmass,Fuctional richness based on abundance data for seed mass,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
cwm.abu.seedmass,Community-weighted mean based on abundance data for seed mass,NA,NA,gram,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fdis.pres.seedmass,Fuctional dispersion based on presence-absence data for seed mass,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
fric.pres.seedmass,Fuctional richness based on presence-absence data for seed mass,NA,NA,dimensionless,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
cwm.pres.seedmass,Community-weighted mean based on presence-absence data for seed mass,NA,NA,gram,real,numeric,NA,"Traits data from GIFT database (Weigelt et al. 2020, https://doi.org/10.1111/jbi.13623), index calculation according to FD package (Laliberté and Legendre 2010, https://doi.org/10.1890/08-2244.1)"
